item_id,museum,source_object_id,source_accession_number,title,title_original,description,culture,culture_original,period,period_original,object_type,object_type_original,material,material_original,technique,technique_original,provenance,classification,image_url,object_url,license,dataset_split,review_status,review_decision_original,review_reason,reviewer,review_date,source_branch,source_commit,source_file,adapter_name,adapter_version,processing_timestamp,image_local_path,image_sha256,image_phash
CMA:124740,CMA,124740,,Tunic,Tunic,,"Peru, South Coast, Paracas (Cavernas) style","Peru, South Coast, Paracas (Cavernas) style",c. 300 BCE–200 CE,c. 300 BCE–200 CE,Textile,Textile,,,Alpaca wool: plain weave with embroidery and warp substitution,Alpaca wool: plain weave with embroidery and warp substitution,,Textile,https://openaccess-cdn.clevelandart.org/1946.227/1946.227_web.jpg,https://clevelandart.org/art/1946.227,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:124741,CMA,124741,,Turban Band (Llauto),Turban Band (Llauto),,"Peru, South Coast, Paracas, Late Period","Peru, South Coast, Paracas, Late Period",c. 300–100 BCE,c. 300–100 BCE,Textile,Textile,,,wool and cotton: needle reseau (netting),wool and cotton: needle reseau (netting),,Textile,https://openaccess-cdn.clevelandart.org/1946.228/1946.228_web.jpg,https://clevelandart.org/art/1946.228,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:125095,CMA,125095,,Mantle Corner Fragment,Mantle Corner Fragment,,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century","Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100,c. 700–1100,Textile,Textile,,,cotton and camelid fiber; plain weave with supplementary weft (brocade),cotton and camelid fiber; plain weave with supplementary weft (brocade),,Textile,https://openaccess-cdn.clevelandart.org/1946.75/1946.75_web.jpg,https://clevelandart.org/art/1946.75,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:126684,CMA,126684,,Tunic with Profile Animal and Human Heads,Tunic with Profile Animal and Human Heads,,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century","Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100,c. 700–1100,Textile,Textile,,,tapestry weave: wool,tapestry weave: wool,,Textile,https://openaccess-cdn.clevelandart.org/1949.12/1949.12_web.jpg,https://clevelandart.org/art/1949.12,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:128454,CMA,128454,,Half Tunic,Half Tunic,,"Peru, South Coast, Inca Culture, Colonial Period, 16th century","Peru, South Coast, Inca Culture, Colonial Period, 16th century",16th century,16th century,Textile,Textile,,,interlocked tapestry; cotton and wool,interlocked tapestry; cotton and wool,,Textile,https://openaccess-cdn.clevelandart.org/1951.393/1951.393_web.jpg,https://clevelandart.org/art/1951.393,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:130555,CMA,130555,,Large Cloth,Large Cloth,,"Peru, North Coast, Chimu-Inka","Peru, North Coast, Chimu-Inka","1460–1632 (radiocarbon date, 95% probability)","1460–1632 (radiocarbon date, 95% probability)",Textile,Textile,,,"plain tabby, brocaded: wool and cotton","plain tabby, brocaded: wool and cotton",,Textile,https://openaccess-cdn.clevelandart.org/1953.288/1953.288_web.jpg,https://clevelandart.org/art/1953.288,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:134395,CMA,134395,,Tunic,Tunic,,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century","Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100,c. 700–1100,Textile,Textile,,,tapestry; interlocked wefts and areas of eccentric weaving: wool and cotton,tapestry; interlocked wefts and areas of eccentric weaving: wool and cotton,,Textile,https://openaccess-cdn.clevelandart.org/1956.84/1956.84_web.jpg,https://clevelandart.org/art/1956.84,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:134604,CMA,134604,,Tunic,Tunic,,"Peru, Inca, 15th-16th century","Peru, Inca, 15th-16th century",c. 1400–1540,c. 1400–1540,Textile,Textile,,,tapestry; cotton and camelid fiber,tapestry; cotton and camelid fiber,,Textile,https://openaccess-cdn.clevelandart.org/1957.136/1957.136_web.jpg,https://clevelandart.org/art/1957.136,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:134765,CMA,134765,,Fragment,Fragment,,"Peru, South Coast, Nasca-Huari style","Peru, South Coast, Nasca-Huari style",c. 600–700,c. 600–700,Textile,Textile,,,interlocking warp and weft: wool,interlocking warp and weft: wool,,Textile,https://openaccess-cdn.clevelandart.org/1957.340/1957.340_web.jpg,https://clevelandart.org/art/1957.340,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:134948,CMA,134948,,Tapestry Square Panel,Tapestry Square Panel,,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century","Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100,c. 700–1100,Tapestry,Tapestry,,,tapestry with interlocked wefts: wool and cotton,tapestry with interlocked wefts: wool and cotton,,Tapestry,https://openaccess-cdn.clevelandart.org/1957.495/1957.495_web.jpg,https://clevelandart.org/art/1957.495,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:137312,CMA,137312,,Embroidered Fragment,Embroidered Fragment,,"Peru, South Coast, Paracas","Peru, South Coast, Paracas",c. 650–100 BCE,c. 650–100 BCE,Embroidery,Embroidery,,,wool embroidery on wool tabby ground,wool embroidery on wool tabby ground,,Embroidery,https://openaccess-cdn.clevelandart.org/1962.240/1962.240_web.jpg,https://clevelandart.org/art/1962.240,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:149062,CMA,149062,,Fragment,Fragment,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,tapestry: cotton and wool,tapestry: cotton and wool,,Textile,https://openaccess-cdn.clevelandart.org/1977.190/1977.190_web.jpg,https://clevelandart.org/art/1977.190,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:152258,CMA,152258,,Two Textile Fragment with Fanged Heads,Two Textile Fragment with Fanged Heads,,"Peru, South Coast, Ica Valley, Chavín style","Peru, South Coast, Ica Valley, Chavín style",500–200 BCE,500–200 BCE,Textile,Textile,,,cotton: plain weave patterned by fiber-wrapped warps and supplementary wefts,cotton: plain weave patterned by fiber-wrapped warps and supplementary wefts,,Textile,https://openaccess-cdn.clevelandart.org/1985.139/1985.139_web.jpg,https://clevelandart.org/art/1985.139,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:152334,CMA,152334,,Mantle Border Fragment with Oculate Being,Mantle Border Fragment with Oculate Being,,"Peru, South Coast, Paracas (Cavernas) style (700 BCE–1 CE)","Peru, South Coast, Paracas (Cavernas) style (700 BCE–1 CE)",200 BCE–200 CE,200 BCE–200 CE,Embroidery,Embroidery,,,"camelid fiber, embroidery over foundation cloth","camelid fiber, embroidery over foundation cloth",,Embroidery,https://openaccess-cdn.clevelandart.org/1985.193/1985.193_web.jpg,https://clevelandart.org/art/1985.193,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:152819,CMA,152819,,Two Tapestry-woven Panel Fragments,Two Tapestry-woven Panel Fragments,,"Central Andes, North Coast, Chimú people","Central Andes, North Coast, Chimú people",1000–1460s,1000–1460s,Tapestry,Tapestry,,,"camelid fiber and cotton, tapestry weave","camelid fiber and cotton, tapestry weave",,Tapestry,https://openaccess-cdn.clevelandart.org/1985.7/1985.7_web.jpg,https://clevelandart.org/art/1985.7,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:155505,CMA,155505,,Textile Fragment,Textile Fragment,,"Peru, North Coast, 9th-12th Century","Peru, North Coast, 9th-12th Century",800–1100,800–1100,Textile,Textile,,,"slit tapestry, cotton warp, camelid-fiber wefts","slit tapestry, cotton warp, camelid-fiber wefts",,Textile,https://openaccess-cdn.clevelandart.org/1990.225/1990.225_web.jpg,https://clevelandart.org/art/1990.225,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:155934,CMA,155934,,Tapestry Fragment,Tapestry Fragment,,"Peru, North Coast, Lambayeque (Sicán) people","Peru, North Coast, Lambayeque (Sicán) people",700–1370s,700–1370s,Tapestry,Tapestry,,,"camelid fiber and cotton, tapestry weave","camelid fiber and cotton, tapestry weave",,Tapestry,https://openaccess-cdn.clevelandart.org/1991.223/1991.223_web.jpg,https://clevelandart.org/art/1991.223,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:156237,CMA,156237,,Tapestry Panel,Tapestry Panel,,"Peru, Central Coast, Chancay-Chimú style, 11th-15th century","Peru, Central Coast, Chancay-Chimú style, 11th-15th century",1000–1460s,1000–1460s,Tapestry,Tapestry,,,"camelid fiber and cotton, tapestry weave","camelid fiber and cotton, tapestry weave",,Tapestry,https://openaccess-cdn.clevelandart.org/1992.103/1992.103_web.jpg,https://clevelandart.org/art/1992.103,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:157111,CMA,157111,,Triple Cloth,Triple Cloth,,"Peru, Recuay","Peru, Recuay",400 BCE–700 CE,400 BCE–700 CE,Textile,Textile,,,triple cloth: wool,triple cloth: wool,,Textile,https://openaccess-cdn.clevelandart.org/1993.242/1993.242_web.jpg,https://clevelandart.org/art/1993.242,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:157112,CMA,157112,,Double Cloth,Double Cloth,,"Peru, Recuay","Peru, Recuay",400 BCE–700 CE,400 BCE–700 CE,Textile,Textile,,,wool,wool,,Textile,https://openaccess-cdn.clevelandart.org/1993.243/1993.243_web.jpg,https://clevelandart.org/art/1993.243,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:160691,CMA,160691,,Trapezoidal Bag,Trapezoidal Bag,,"Peru, South Coast, Arica culture, or Chile, North Coast, 13th-15th century","Peru, South Coast, Arica culture, or Chile, North Coast, 13th-15th century",1200–1400,1200–1400,Textile,Textile,,,alpaca wool,alpaca wool,,Textile,https://openaccess-cdn.clevelandart.org/1998.52/1998.52_web.jpg,https://clevelandart.org/art/1998.52,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:160692,CMA,160692,,Trapezoidal Bag,Trapezoidal Bag,,"Peru, South Coast, Arica culture, or Chile, North Coast, 13th-15th century","Peru, South Coast, Arica culture, or Chile, North Coast, 13th-15th century",1200–1400,1200–1400,Textile,Textile,,,alpaca wool,alpaca wool,,Textile,https://openaccess-cdn.clevelandart.org/1998.53/1998.53_web.jpg,https://clevelandart.org/art/1998.53,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:163622,CMA,163622,,Textile Fragment with Three Frontal Deities and Interlace Pattern,Textile Fragment with Three Frontal Deities and Interlace Pattern,,"Peru, South Coast, Paracas (700 BC -AD 1), Yauca Valley?","Peru, South Coast, Paracas (700 BC -AD 1), Yauca Valley?",700–400 BCE,700–400 BCE,Textile,Textile,,,camelid fiber; double-cloth with structural embroidery,camelid fiber; double-cloth with structural embroidery,,Textile,https://openaccess-cdn.clevelandart.org/2005.13/2005.13_web.jpg,https://clevelandart.org/art/2005.13,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:163640,CMA,163640,,"Textile Fragment with Frontal Deity Heads, Felines, and Interlace Pattern","Textile Fragment with Frontal Deity Heads, Felines, and Interlace Pattern",,"Peru, South Coast, Paracas, Yauca Valley(?)","Peru, South Coast, Paracas, Yauca Valley(?)",700–400 BCE,700–400 BCE,Textile,Textile,,,camelid fiber; double-cloth with structural embroidery,camelid fiber; double-cloth with structural embroidery,,Textile,https://openaccess-cdn.clevelandart.org/2005.14/2005.14_web.jpg,https://clevelandart.org/art/2005.14,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:163676,CMA,163676,,Textile Fragment with Interlace Pattern,Textile Fragment with Interlace Pattern,,"Peru, South Coast, Paracas, Yauca Valley(?)","Peru, South Coast, Paracas, Yauca Valley(?)",700–400 BCE,700–400 BCE,Textile,Textile,,,camelid fiber and cotton; brocaded plain-weave,camelid fiber and cotton; brocaded plain-weave,,Textile,https://openaccess-cdn.clevelandart.org/2005.15/2005.15_web.jpg,https://clevelandart.org/art/2005.15,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
CMA:163708,CMA,163708,,Tunic with Profile Animals and Checkerboards,Tunic with Profile Animals and Checkerboards,,"Peru, South Coast, Paracas or Nasca?","Peru, South Coast, Paracas or Nasca?","410–540 CE (radiocarbon date, 93% probability)","410–540 CE (radiocarbon date, 93% probability)",Textile,Textile,,,cotton; dye-patterned plain weave,cotton; dye-patterned plain weave,,Textile,https://openaccess-cdn.clevelandart.org/2005.16/2005.16_web.jpg,https://clevelandart.org/art/2005.16,Open Access CMA,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,cma_adapter,1.0.0,2026-07-15T09:10:12+00:00,,,
