item_id,museum,source_object_id,source_accession_number,title,title_original,description,culture,culture_original,period,period_original,object_type,object_type_original,material,material_original,technique,technique_original,provenance,classification,country,region,image_url,object_url,license,dataset_split,review_status,review_decision_original,review_reason,reviewer,review_date,source_branch,source_commit,source_file,enrichment_source_file,metadata_recovery_source,metadata_recovery_version,adapter_name,adapter_version,processing_timestamp,image_local_path,image_sha256,image_phash
MET:310699,MET,310699,,Banda o vincha textil,Openwork Headband,,Chancay,Chancay,10th–14th century,10th–14th century,Headband,Headband,Cotton,Cotton,,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/221106.jpg,https://www.metmuseum.org/art/collection/search/310699,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,composicion_visual_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:312614,MET,312614,,Túnica textil,Tunic Section,,Wari,Wari,7th–9th century,7th–9th century,Tunic fragment,Tunic fragment,"Camelid hair, cotton","Camelid hair, cotton",,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/TP411.jpg,https://www.metmuseum.org/art/collection/search/312614,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:312615,MET,312615,,Túnica textil,Tunic Fragment,,Wari,Wari,7th–9th century,7th–9th century,tunica,tunica,algodón; fibra de camélido,"Camelid hair, cotton",tejido,tejido,Peru,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/TP412.jpg,https://www.metmuseum.org/art/collection/search/312615,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie amplia o composición visual útil detectada: ['tunic'],,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:312669,MET,312669,,Panel textil,Panel,,Chancay,Chancay,1100–1400,1100–1400,Panel,Panel,"Cotton, paint","Cotton, paint",,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/1979_206_459_EX_01.jpg,https://www.metmuseum.org/art/collection/search/312669,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:313121,MET,313121,,Panel textil,Panel,,Chancay,Chancay,15th–16th century,15th–16th century,Panel,Panel,"Cotton, camelid hair","Cotton, camelid hair",,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/222448.jpg,https://www.metmuseum.org/art/collection/search/313121,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:313152,MET,313152,,Túnica textil,Tunic,,Inca,Inca,1450–1550,1450–1550,tunica,tunica,fibra de camélido,Camelid hair,tejido,tejido,Peru,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP244273.jpg,https://www.metmuseum.org/art/collection/search/313152,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie amplia o composición visual útil detectada: ['tunic'],,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:313153,MET,313153,,Túnica textil,Tunic with Felines,,Chimú,Chimú,1450–1550,1450–1550,tunica,tunica,algodón; fibra de camélido,"Cotton, camelid hair",tejido,tejido,Peru,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP-39316-001.jpg,https://www.metmuseum.org/art/collection/search/313153,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie amplia o composición visual útil detectada: ['tunic'],,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:313324,MET,313324,,Túnica textil,Sleeveless Tunic,,Inca,Inca,15th–early 17th century,15th–early 17th century,Tunic,Tunic,"Cotton, camelid hair","Cotton, camelid hair",,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/1979.206.1131_a.jpg,https://www.metmuseum.org/art/collection/search/313324,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:314363,MET,314363,,Túnica textil,Tunic,,Nasca,Nasca,1st century BCE–2nd century CE,1st century BCE–2nd century CE,Tunic,Tunic,Camelid hair,Camelid hair,,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP221262.jpg,https://www.metmuseum.org/art/collection/search/314363,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:314528,MET,314528,,Túnica textil,Tunic with Diamond Band,,Inca,Inca,1460–1540,1460–1540,Tunic,Tunic,"Camelid hair, cotton","Camelid hair, cotton",,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP107698.jpg,https://www.metmuseum.org/art/collection/search/314528,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:315690,MET,315690,,Bolsa textil,Bag,,Inca,Inca,15th–16th century,15th–16th century,bolso_textil,bolso_textil,algodón; fibra de camélido,"Camelid hair, cotton",tejido,tejido,Peru,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP18706_1987.394.642.jpg,https://www.metmuseum.org/art/collection/search/315690,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie amplia o composición visual útil detectada: ['bag'],,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:315700,MET,315700,,Bolsa textil,Embroidered bag with fringe,,Nasca,Nasca,7th century,7th century,bolso_textil,bolso_textil,fibra de camélido,Camelid hair,bordado; tejido,bordado; tejido,Peru,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP-26541-001.jpg,https://www.metmuseum.org/art/collection/search/315700,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie amplia o composición visual útil detectada: ['bag'],,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:315708,MET,315708,,Fragmento textil,Band Fragment,,Inca,Inca,15th–16th century,15th–16th century,Textile fragment,Textile fragment,"Cotton, camelid hair","Cotton, camelid hair",,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP18703.jpg,https://www.metmuseum.org/art/collection/search/315708,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,fragmento_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:315772,MET,315772,,Banda o vincha textil,Headband with ornamental tassels,,Nasca,Nasca,6th–8th century,6th–8th century,Tassels,Tassels,Camelid hair,Camelid hair,,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP-26542-001.jpg,https://www.metmuseum.org/art/collection/search/315772,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,composicion_visual_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:315786,MET,315786,,Objeto textil,Shirt,,Moche,Moche,500–850 CE,500–850 CE,tunica,tunica,algodón; fibra de camélido,"Camelid hair, cotton",tejido,tejido,Peru; Huarmey Valley(?),Textil,Peru,Huarmey Valley(?),https://images.metmuseum.org/CRDImages/ao/original/DT1269.jpg,https://www.metmuseum.org/art/collection/search/315786,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie amplia o composición visual útil detectada: ['shirt'],,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:316892,MET,316892,,Manto textil,Woman's Mantle (lliclla),,Peruvian,Peruvian,17th–18th century,17th–18th century,manto,manto,fibra de camélido,Camelid hair,tejido,tejido,Peru,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DT3832rev.jpg,https://www.metmuseum.org/art/collection/search/316892,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie amplia o composición visual útil detectada: ['mantle'],,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:316894,MET,316894,,Fragmento textil,Sash Fragment with Fringe,,Peruvian,Peruvian,7th–10th century,7th–10th century,Sash fragment,Sash fragment,Camelid hair,Camelid hair,,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP18602.jpg,https://www.metmuseum.org/art/collection/search/316894,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,fragmento_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:316906,MET,316906,,Túnica textil,Tunic Fragment,,Peruvian,Peruvian,7th–10th century,7th–10th century,tunica,tunica,algodón; fibra de camélido,"Cotton, camelid hair",tejido,tejido,Peru,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/1994.35.81.jpg,https://www.metmuseum.org/art/collection/search/316906,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie amplia o composición visual útil detectada: ['tunic'],,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
