item_id,museum,image_url,proposal_status,match_score,match_rule,candidate_count,top_candidate_count,candidate_paths,proposed_image_local_path,proposed_filename,proposed_sha256,proposed_image_width,proposed_image_height,proposal_version
CMA:119687,CMA,https://openaccess-cdn.clevelandart.org/1940.525/1940.525_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:119688,CMA,https://openaccess-cdn.clevelandart.org/1940.526/1940.526_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:119689,CMA,https://openaccess-cdn.clevelandart.org/1940.527/1940.527_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:119690,CMA,https://openaccess-cdn.clevelandart.org/1940.528/1940.528_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:119693,CMA,https://openaccess-cdn.clevelandart.org/1940.530/1940.530_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:124413,CMA,https://openaccess-cdn.clevelandart.org/1945.379/1945.379_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:124739,CMA,https://openaccess-cdn.clevelandart.org/1946.226/1946.226_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:124740,CMA,https://openaccess-cdn.clevelandart.org/1946.227/1946.227_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:124741,CMA,https://openaccess-cdn.clevelandart.org/1946.228/1946.228_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:125095,CMA,https://openaccess-cdn.clevelandart.org/1946.75/1946.75_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:126684,CMA,https://openaccess-cdn.clevelandart.org/1949.12/1949.12_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:128454,CMA,https://openaccess-cdn.clevelandart.org/1951.393/1951.393_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:130555,CMA,https://openaccess-cdn.clevelandart.org/1953.288/1953.288_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:134395,CMA,https://openaccess-cdn.clevelandart.org/1956.84/1956.84_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:134604,CMA,https://openaccess-cdn.clevelandart.org/1957.136/1957.136_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
