field,museum,source_key,source_label,record_count,example_item_ids,example_titles,canonical_components,component_count,is_composite,is_uncertain,is_style_attribution,is_unattributed,strict_eligible,proposal_decision,proposal_rationale,review_decision,review_rationale,reviewer,review_date
culture,MET,moche,Moche,2,MET:315786 || MET:316913,Objeto textil || Bolsa textil,Moche,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"central andes, north coast, chimú people","Central Andes, North Coast, Chimú people",1,CMA:152819,Two Tapestry-woven Panel Fragments,Chimu,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"central andes, south coast, nasca people","Central Andes, South Coast, Nasca people",1,CMA:119693,Cloth with Procession of Figures,Nasca,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"central andes, central coast, chancay people","Central Andes, central coast, Chancay people",1,CMA:302272,Sleeved Tunic,Chancay,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"peru, inca, 15th-16th century","Peru, Inca, 15th-16th century",1,CMA:134604,Tunic,Inca,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"peru, north coast, lambayeque (sicán) people","Peru, North Coast, Lambayeque (Sicán) people",1,CMA:155934,Tapestry Fragment,Lambayeque_Sican,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"peru, south coast, inca culture, colonial period, 16th century","Peru, South Coast, Inca Culture, Colonial Period, 16th century",1,CMA:128454,Half Tunic,Inca,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"peru, south coast, wari culture, middle horizon, 8th-11th century","Peru, South Coast, Wari Culture, Middle Horizon, 8th-11th Century",1,CMA:124413,Mantle Corner Fragment,Wari,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"south america, peru, central andes, middle horizon, wari people, 7th-11th century","South America, Peru, Central Andes, Middle Horizon, Wari people, 7th-11th century",1,CMA:165184,Tunic with Sacrificer,Wari,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,MET,chuquibamba,Chuquibamba,1,MET:317736,Objeto textil,Chuquibamba,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,MET,recuay,Recuay,1,MET:318746,Faja textil,Recuay,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"central andes, north central coast, moche-wari style","Central Andes, North Central Coast, Moche-Wari Style",1,CMA:108042,Tapestry-woven Yoke from a Tunic,Wari | Moche,2,True,False,True,False,False,revisar_compuesta,La etiqueta contiene más de un componente cultural.,pendiente,,,
culture,CMA,"peru, central coast, chancay-chimú style, 11th-15th century","Peru, Central Coast, Chancay-Chimú style, 11th-15th century",1,CMA:156237,Tapestry Panel,Chancay | Chimu,2,True,False,True,False,False,revisar_compuesta,La etiqueta contiene más de un componente cultural.,pendiente,,,
culture,CMA,"peru, north coast, chimu-inka","Peru, North Coast, Chimu-Inka",1,CMA:130555,Large Cloth,Inca | Chimu,2,True,False,False,False,False,revisar_compuesta,La etiqueta contiene más de un componente cultural.,pendiente,,,
culture,CMA,"peru, south coast, nasca-huari style","Peru, South Coast, Nasca-Huari style",1,CMA:134765,Fragment,Nasca | Wari,2,True,False,True,False,False,revisar_compuesta,La etiqueta contiene más de un componente cultural.,pendiente,,,
culture,MET,inca and spanish,Inca and Spanish,1,MET:320054,Objeto textil,Inca | Spanish,2,True,False,False,False,False,revisar_compuesta,La etiqueta contiene más de un componente cultural.,pendiente,,,
culture,MET,nasca-wari,Nasca-Wari,1,MET:307975,Túnica textil,Nasca | Wari,2,True,False,False,False,False,revisar_compuesta,La etiqueta contiene más de un componente cultural.,pendiente,,,
culture,CMA,"peru, south coast, ica valley, ocucaje site, paracas style (700 bce–1 ce)","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",9,CMA:119679 || CMA:119680 || CMA:119683,"Mummy Bundle ""Mask""",Paracas,1,False,False,True,False,False,revisar_estilo,La atribución se expresa como estilo y no como adscripción cultural directa.,pendiente,,,
culture,CMA,"peru, south coast, ica valley, ocucaje site, paracas style","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style",3,CMA:119677 || CMA:119678 || CMA:119682,"Mummy Bundle ""Mask""",Paracas,1,False,False,True,False,False,revisar_estilo,La atribución se expresa como estilo y no como adscripción cultural directa.,pendiente,,,
culture,CMA,"peru, south coast, paracas (cavernas) style","Peru, South Coast, Paracas (Cavernas) style",2,CMA:124739 || CMA:124740,Mantle || Tunic,Paracas,1,False,False,True,False,False,revisar_estilo,La atribución se expresa como estilo y no como adscripción cultural directa.,pendiente,,,
culture,CMA,"peru, north coast, chimú style, 1200-1460s","Peru, North Coast, Chimú style, 1200-1460s",1,CMA:164419,"Peruvian Textiles: Mantle or Hanging, Loincloth, Turban, Padded Hat, Band with Tassels",Chimu,1,False,False,True,False,False,revisar_estilo,La atribución se expresa como estilo y no como adscripción cultural directa.,pendiente,,,
culture,CMA,"peru, north coast, chimú style, 1200–1460s","Peru, North Coast, Chimú style, 1200–1460s",1,CMA:164421,Loincloth,Chimu,1,False,False,True,False,False,revisar_estilo,La atribución se expresa como estilo y no como adscripción cultural directa.,pendiente,,,
culture,CMA,"peru, south coast, ica valley, chavín style","Peru, South Coast, Ica Valley, Chavín style",1,CMA:152258,Two Textile Fragment with Fanged Heads,Chavin,1,False,False,True,False,False,revisar_estilo,La atribución se expresa como estilo y no como adscripción cultural directa.,pendiente,,,
culture,CMA,"peru, south coast, paracas (cavernas) style (700 bce–1 ce)","Peru, South Coast, Paracas (Cavernas) style (700 BCE–1 CE)",1,CMA:152334,Mantle Border Fragment with Oculate Being,Paracas,1,False,False,True,False,False,revisar_estilo,La atribución se expresa como estilo y no como adscripción cultural directa.,pendiente,,,
culture,MET,nasca (?),Nasca (?),4,MET:307933 || MET:316921 || MET:316925,Fragmento textil || Bolsa textil || Banda o vincha textil,Nasca,1,False,True,False,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
culture,CMA,"peru, south coast, arica culture, or chile, north coast, 13th-15th century","Peru, South Coast, Arica culture, or Chile, North Coast, 13th-15th century",2,CMA:160691 || CMA:160692,Trapezoidal Bag,Arica,1,False,True,False,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
culture,CMA,"peru, south coast, paracas, yauca valley(?)","Peru, South Coast, Paracas, Yauca Valley(?)",2,CMA:163640 || CMA:163676,"Textile Fragment with Frontal Deity Heads, Felines, and Interlace Pattern || Textile Fragment with Interlace Pattern",Paracas,1,False,True,False,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
culture,CMA,"peru, central andes, chimú or chimú-inka, 11th-16th century","Peru, Central Andes, Chimú or Chimú-Inka, 11th-16th century",1,CMA:166766,Loincloth with Feather(?) Motifs,Inca | Chimu,2,True,True,False,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
culture,CMA,"peru, chimú or chimú-inka, 12th-16th century","Peru, Chimú or Chimú-Inka, 12th-16th century",1,CMA:169189,Tunic,Inca | Chimu,2,True,True,False,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
culture,CMA,"peru, south coast, ica valley ?, inca culture, 15th-16th century","Peru, South Coast, Ica Valley ?, Inca Culture, 15th-16th century",1,CMA:119655,Fragmentary Mantle,Inca,1,False,True,False,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
culture,CMA,"peru, south coast, ica valley, ocucaje site?, paracas people","Peru, South Coast, Ica Valley, Ocucaje site?, Paracas people",1,CMA:119675,Tunic,Paracas,1,False,True,False,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
culture,CMA,"peru, south coast, ica valley, ocucaje site?, paracas people (700 bce-1 ce)","Peru, South Coast, Ica Valley, Ocucaje site?, Paracas people (700 BCE-1 CE)",1,CMA:163724,Tunic with Double-headed Serpents,Paracas,1,False,True,False,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
culture,CMA,"peru, south coast, paracas (700 bc -ad 1), yauca valley?","Peru, South Coast, Paracas (700 BC -AD 1), Yauca Valley?",1,CMA:163622,Textile Fragment with Three Frontal Deities and Interlace Pattern,Paracas,1,False,True,False,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
culture,CMA,"peru, south coast, paracas or nasca?","Peru, South Coast, Paracas or Nasca?",1,CMA:163708,Tunic with Profile Animals and Checkerboards,Paracas | Nasca,2,True,True,False,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
culture,CMA,"peru, south coast, paracas, carhua or chucho?","Peru, South Coast, Paracas, Carhua or Chucho?",1,CMA:163758,Panel from the End of a Sash,Paracas,1,False,True,False,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
culture,CMA,"peru, south coast, paracas, carhua?","Peru, South Coast, Paracas, Carhua?",1,CMA:163781,Fragment of a Mantle with Oculate Being,Paracas,1,False,True,False,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
culture,CMA,"peru, south highlands or south coast, chuquibamba style, 12th-16th century","Peru, South Highlands or South Coast, Chuquibamba style, 12th-16th century",1,CMA:119656,Dress,Chuquibamba,1,False,True,True,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
culture,MET,inca (?),Inca (?),1,MET:308083,Fragmento textil,Inca,1,False,True,False,False,False,revisar_incierta,La fuente expresa incertidumbre o alternativas.,pendiente,,,
