field,museum,source_key,source_label,record_count,example_item_ids,example_titles,canonical_label,canonical_level,mapping_decision,mapping_rationale,reviewer,review_date
culture,CMA,"peru, south coast, paracas or nasca?","Peru, South Coast, Paracas or Nasca?",1,CMA:163708,Tunic with Profile Animals and Checkerboards,,,pendiente,,,
culture,CMA,"peru, south coast, paracas, carhua or chucho?","Peru, South Coast, Paracas, Carhua or Chucho?",1,CMA:163758,Panel from the End of a Sash,,,pendiente,,,
culture,CMA,"peru, south coast, paracas, carhua?","Peru, South Coast, Paracas, Carhua?",1,CMA:163781,Fragment of a Mantle with Oculate Being,,,pendiente,,,
culture,CMA,"peru, south coast, wari culture, middle horizon, 8th-11th century","Peru, South Coast, Wari Culture, Middle Horizon, 8th-11th Century",1,CMA:124413,Mantle Corner Fragment,,,pendiente,,,
culture,CMA,"peru, south highlands or south coast, chuquibamba style, 12th-16th century","Peru, South Highlands or South Coast, Chuquibamba style, 12th-16th century",1,CMA:119656,Dress,,,pendiente,,,
culture,CMA,"south america, peru, central andes, middle horizon, wari people, 7th-11th century","South America, Peru, Central Andes, Middle Horizon, Wari people, 7th-11th century",1,CMA:165184,Tunic with Sacrificer,,,pendiente,,,
culture,MET,paracas,Paracas,37,MET:307677 || MET:307679 || MET:307682,Manto textil || Fragmento textil || Objeto textil,,,pendiente,,,
culture,MET,nasca,Nasca,34,MET:307841 || MET:307843 || MET:307844,Bolsa textil || Túnica textil || Fragmento textil,,,pendiente,,,
culture,MET,inca,Inca,15,MET:307449 || MET:307846 || MET:307941,Bolsa textil || Panel textil || Túnica textil,,,pendiente,,,
culture,MET,chancay,Chancay,12,MET:307806 || MET:307940 || MET:307943,Fragmento textil || Panel textil || Banda o vincha textil,,,pendiente,,,
culture,MET,peruvian,Peruvian,11,MET:307836 || MET:307842 || MET:308084,Bolsa textil || Fragmento textil || Manto textil,,,pendiente,,,
culture,MET,wari,Wari,5,MET:307991 || MET:312614 || MET:312615,Túnica textil,,,pendiente,,,
culture,MET,nasca (?),Nasca (?),4,MET:307933 || MET:316921 || MET:316925,Fragmento textil || Bolsa textil || Banda o vincha textil,,,pendiente,,,
culture,MET,chimú,Chimú,2,MET:307944 || MET:313153,Faja textil || Túnica textil,,,pendiente,,,
culture,MET,moche,Moche,2,MET:315786 || MET:316913,Objeto textil || Bolsa textil,,,pendiente,,,
culture,MET,chuquibamba,Chuquibamba,1,MET:317736,Objeto textil,,,pendiente,,,
culture,MET,inca (?),Inca (?),1,MET:308083,Fragmento textil,,,pendiente,,,
culture,MET,inca and spanish,Inca and Spanish,1,MET:320054,Objeto textil,,,pendiente,,,
culture,MET,nasca-wari,Nasca-Wari,1,MET:307975,Túnica textil,,,pendiente,,,
culture,MET,recuay,Recuay,1,MET:318746,Faja textil,,,pendiente,,,
period,CMA,c. 1100–1400,c. 1100–1400,20,CMA:104234 || CMA:104236 || CMA:104238,Fragment Composed of Two Fabrics Joined || Fragment formed of Four Separate Fabrics Joined || Fragment,,,pendiente,,,
period,CMA,200–1 bce,200–1 BCE,6,CMA:119677 || CMA:119680 || CMA:119682,"Mummy Bundle ""Mask"" || Fragment of a Mantle with Oculate Being",,,pendiente,,,
period,CMA,400–200 bce,400–200 BCE,6,CMA:119675 || CMA:119683 || CMA:119685,"Tunic || Mummy Bundle ""Mask"" || Tunic with Double-headed Serpents",,,pendiente,,,
period,CMA,c. 50–650 ce,c. 50–650 CE,4,CMA:165266 || CMA:165267 || CMA:165268,Textile Fragments || Textile Fragment,,,pendiente,,,
period,CMA,c. 700–1100,c. 700–1100,4,CMA:125095 || CMA:126684 || CMA:134395,Mantle Corner Fragment || Tunic with Profile Animal and Human Heads || Tunic,,,pendiente,,,
period,CMA,700–400 bce,700–400 BCE,3,CMA:163622 || CMA:163640 || CMA:163676,"Textile Fragment with Three Frontal Deities and Interlace Pattern || Textile Fragment with Frontal Deity Heads, Felines, and Interlace Pattern || Textile Fragment with Interlace Pattern",,,pendiente,,,
