baseline_version,metric,run_count,mean,std,min,q025,median,q975,max
random_multiseed_baseline_v1,mrr,100,0.3629611401366901,0.023520932084323744,0.3077975451728046,0.3178428222069904,0.36564961374064686,0.4055077823684859,0.42027564419251695
random_multiseed_baseline_v1,precision_at_1,100,0.18146496815286622,0.030236503046575318,0.10828025477707007,0.12101910828025478,0.18471337579617833,0.23264331210191078,0.25477707006369427
random_multiseed_baseline_v1,recall_at_1,100,0.006424942417544927,0.0013738318041673129,0.003303381318349928,0.0038612355576066065,0.006543868518356543,0.009081589350824995,0.010360414167220408
random_multiseed_baseline_v1,ndcg_at_1,100,0.18146496815286622,0.030236503046575318,0.10828025477707007,0.12101910828025478,0.18471337579617833,0.23264331210191078,0.25477707006369427
random_multiseed_baseline_v1,precision_at_5,100,0.17708280254777073,0.012767766198400456,0.14904458598726114,0.15286624203821655,0.17707006369426753,0.20328025477707,0.21528662420382164
random_multiseed_baseline_v1,recall_at_5,100,0.031371026669173185,0.0031406318928833554,0.025250156766139738,0.02620884943226941,0.030598359819304453,0.03861071434554869,0.03913987064454491
random_multiseed_baseline_v1,ndcg_at_5,100,0.17813489218210557,0.013237765868516887,0.14965652146671526,0.15210212703605583,0.17951370216993334,0.20257989556088532,0.21077460715018656
random_multiseed_baseline_v1,precision_at_10,100,0.17777070063694272,0.008435680918932596,0.1605095541401274,0.16463375796178342,0.17707006369426753,0.19563694267515924,0.19872611464968154
random_multiseed_baseline_v1,recall_at_10,100,0.06322790919226166,0.0040285027782643555,0.053772396017596105,0.05505765126463821,0.06377036599943692,0.07098448170242153,0.0726905551718901
random_multiseed_baseline_v1,ndcg_at_10,100,0.17996244949658988,0.008792515922195154,0.15921808080517888,0.16383781596024485,0.18002668229147956,0.1978623317564401,0.19973667382222132
