baseline_version,culture_canonical,metric,run_count,mean,std,min,q025,median,q975,max
random_multiseed_baseline_v1,Chancay,mrr,100,0.38807909451255085,0.055938689171677394,0.24545972090539153,0.2889275084234762,0.38508655156887456,0.5118720325373551,0.5189388120839734
random_multiseed_baseline_v1,Chancay,precision_at_1,100,0.18838709677419352,0.07128398981676017,0.03225806451612903,0.06451612903225806,0.1935483870967742,0.3225806451612903,0.3548387096774194
random_multiseed_baseline_v1,Chancay,recall_at_1,100,0.006279569892473119,0.002376132993892005,0.001075268817204301,0.002150537634408602,0.0064516129032258064,0.01075268817204301,0.011827956989247311
random_multiseed_baseline_v1,Chancay,ndcg_at_1,100,0.18838709677419352,0.07128398981676017,0.03225806451612903,0.06451612903225806,0.1935483870967742,0.3225806451612903,0.3548387096774194
random_multiseed_baseline_v1,Chancay,precision_at_5,100,0.18922580645161294,0.02889697309362452,0.10967741935483873,0.13822580645161292,0.18709677419354842,0.25806451612903225,0.25806451612903225
random_multiseed_baseline_v1,Chancay,recall_at_5,100,0.031537634408602154,0.004816162182270754,0.01827956989247312,0.02303763440860215,0.03118279569892473,0.04301075268817204,0.04301075268817204
random_multiseed_baseline_v1,Chancay,ndcg_at_5,100,0.18901054387736063,0.03108713903377223,0.11509116411113335,0.1405028257672109,0.18584494550729447,0.26015261875198015,0.2746446478793738
random_multiseed_baseline_v1,Chancay,precision_at_10,100,0.19006451612903225,0.01815366912523935,0.15161290322580645,0.15637096774193548,0.1903225806451613,0.22749999999999998,0.23225806451612904
random_multiseed_baseline_v1,Chancay,recall_at_10,100,0.06335483870967742,0.00605122304174645,0.05053763440860215,0.052123655913978495,0.06344086021505377,0.07583333333333332,0.07741935483870968
random_multiseed_baseline_v1,Chancay,ndcg_at_10,100,0.18961570708173237,0.01984845331710053,0.14960723330328812,0.1568413708584062,0.18892495258584574,0.22959925917325388,0.24138641072165593
random_multiseed_baseline_v1,Chimu,mrr,100,0.13669564042988497,0.09478050591705459,0.01876972788271748,0.03596226159580778,0.10634569415762701,0.3808460046897545,0.520607787274454
random_multiseed_baseline_v1,Chimu,precision_at_1,100,0.04666666666666667,0.09790166623404789,0.0,0.0,0.0,0.3333333333333333,0.5
random_multiseed_baseline_v1,Chimu,recall_at_1,100,0.009333333333333332,0.019580333246809585,0.0,0.0,0.0,0.06666666666666667,0.10000000000000002
random_multiseed_baseline_v1,Chimu,ndcg_at_1,100,0.04666666666666667,0.09790166623404789,0.0,0.0,0.0,0.3333333333333333,0.5
random_multiseed_baseline_v1,Chimu,precision_at_5,100,0.037666666666666654,0.0356611437241877,0.0,0.0,0.03333333333333333,0.11749999999999972,0.16666666666666666
random_multiseed_baseline_v1,Chimu,recall_at_5,100,0.037666666666666654,0.0356611437241877,0.0,0.0,0.03333333333333333,0.11749999999999972,0.16666666666666666
random_multiseed_baseline_v1,Chimu,ndcg_at_5,100,0.03968823251753716,0.041112420173357075,0.0,0.0,0.02826335043946801,0.15033883366802986,0.19884864257181825
