baseline_version,run_index,generator_seed,evaluation_scope,query_count,mrr,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10
random_multiseed_baseline_v1,1,20260715,strict_culture_universe,157,0.399073372230386,0.24203821656050956,0.00769963259499854,0.24203821656050956,0.18216560509554142,0.02930362761851673,0.19304089478224218,0.18089171974522297,0.06047377316624957,0.18896928683033942
random_multiseed_baseline_v1,2,20260716,strict_culture_universe,157,0.3652563958049607,0.18471337579617833,0.008335753906969032,0.18471337579617833,0.19235668789808916,0.03449342996480866,0.18939082469685328,0.18407643312101915,0.06636958340894226,0.1872460935251083
random_multiseed_baseline_v1,3,20260717,strict_culture_universe,157,0.3754138093439812,0.18471337579617833,0.006697901313702427,0.18471337579617833,0.19745222929936307,0.03520720001531761,0.19367565535786932,0.19108280254777074,0.06887019915935925,0.1916982310737844
random_multiseed_baseline_v1,4,20260718,strict_culture_universe,157,0.3535875932640333,0.17834394904458598,0.005832494563772378,0.17834394904458598,0.17324840764331206,0.030660900370712216,0.17491154692746846,0.1815286624203822,0.06314463411588031,0.18103560436680324
random_multiseed_baseline_v1,5,20260719,strict_culture_universe,157,0.37239760011385376,0.19745222929936307,0.006119781297636346,0.19745222929936307,0.17070063694267518,0.02914271658640153,0.17383677276820592,0.17707006369426753,0.060133908309323414,0.17809133388512643
random_multiseed_baseline_v1,6,20260720,strict_culture_universe,157,0.3733056060528778,0.20382165605095542,0.006727562859849548,0.20382165605095542,0.1834394904458599,0.02957771814644764,0.18571935100959613,0.17197452229299362,0.05605239687921152,0.17732890737071813
random_multiseed_baseline_v1,7,20260721,strict_culture_universe,157,0.33679958292007994,0.1592356687898089,0.00514559560036536,0.1592356687898089,0.16305732484076435,0.026439963899184033,0.16418587152158162,0.16815286624203823,0.057152844048913645,0.16784123469680823
random_multiseed_baseline_v1,8,20260722,strict_culture_universe,157,0.3810639216170342,0.20382165605095542,0.006556860743365235,0.20382165605095542,0.1732484076433121,0.030172967120668373,0.18078821816079402,0.18471337579617836,0.06156637658947377,0.18601527627542302
random_multiseed_baseline_v1,9,20260723,strict_culture_universe,157,0.39581601300123126,0.2229299363057325,0.007676101355564752,0.2229299363057325,0.19235668789808916,0.032013810650872124,0.1989727068555233,0.18662420382165607,0.062116940142532065,0.1935015630158903
random_multiseed_baseline_v1,10,20260724,strict_culture_universe,157,0.366042831676333,0.18471337579617833,0.007256118231042612,0.18471337579617833,0.1834394904458599,0.03235240810632161,0.1833899906186758,0.1764331210191083,0.06226736383538968,0.18049187875613298
random_multiseed_baseline_v1,11,20260725,strict_culture_universe,157,0.38737467673911746,0.20382165605095542,0.007284795229261503,0.20382165605095542,0.18343949044585986,0.030433681939452804,0.18721272931674168,0.18216560509554142,0.0638485695660896,0.18649737722845458
random_multiseed_baseline_v1,12,20260726,strict_culture_universe,157,0.37803742536694623,0.21019108280254778,0.006153555099218497,0.21019108280254778,0.1961783439490446,0.03265153661278089,0.19561317200272715,0.19872611464968154,0.06677566863315157,0.19854941434454743
random_multiseed_baseline_v1,13,20260727,strict_culture_universe,157,0.3740491296284169,0.19745222929936307,0.0072991065309143685,0.19745222929936307,0.18089171974522292,0.03279556346385066,0.18250071079031172,0.17707006369426753,0.06136679621359185,0.18005936547696252
random_multiseed_baseline_v1,14,20260728,strict_culture_universe,157,0.3604211801746999,0.18471337579617833,0.006051814853640695,0.18471337579617833,0.17070063694267515,0.02913109783295018,0.17337083408735982,0.16751592356687897,0.060560146848859166,0.1715588497748025
random_multiseed_baseline_v1,15,20260729,strict_culture_universe,157,0.37076974739024554,0.21019108280254778,0.008137451811546431,0.21019108280254778,0.1770700636942675,0.0326981040979387,0.17972002263806172,0.16496815286624203,0.06137409601093818,0.1733403343625191
random_multiseed_baseline_v1,16,20260730,strict_culture_universe,157,0.3581073979742463,0.1910828025477707,0.005853643306009681,0.1910828025477707,0.17452229299363053,0.03505632484468076,0.17795560430643712,0.16815286624203823,0.06174384543315539,0.17468522767941286
random_multiseed_baseline_v1,17,20260731,strict_culture_universe,157,0.35965639238474206,0.17834394904458598,0.008391361826694326,0.17834394904458598,0.17452229299363056,0.0332112765876896,0.17771273155714445,0.17006369426751594,0.06375276924502907,0.17648810563094297
random_multiseed_baseline_v1,18,20260732,strict_culture_universe,157,0.3350289496462451,0.1464968152866242,0.005386102708910192,0.1464968152866242,0.15796178343949044,0.030585443747174187,0.15933777086408815,0.17133757961783444,0.06055442994348586,0.1704147655457119
random_multiseed_baseline_v1,19,20260733,strict_culture_universe,157,0.3519336457931025,0.16560509554140126,0.005147064263020728,0.16560509554140126,0.1770700636942675,0.029647778794600024,0.17500655484058894,0.1732484076433121,0.0634323940854888,0.1744469642094711
random_multiseed_baseline_v1,20,20260734,strict_culture_universe,157,0.3900161444558339,0.21019108280254778,0.006226738015386362,0.21019108280254778,0.1770700636942675,0.03410935292246462,0.18650622950938375,0.1713375796178344,0.06394400000174064,0.18147134177365828
random_multiseed_baseline_v1,21,20260735,strict_culture_universe,157,0.3689746954861999,0.17197452229299362,0.006050367948950592,0.17197452229299362,0.1834394904458599,0.02981064260409772,0.18413107911900173,0.17261146496815288,0.05752237045198691,0.17727992584547198
