ranking_method,generator_seed,reference_version,culture_canonical,evaluation_scope,query_count,mrr,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10
random,20260715,reference_rankings_v1,Chancay,strict_culture_universe,31,0.4795167198393005,0.25806451612903225,0.008602150537634409,0.25806451612903225,0.22580645161290322,0.03763440860215054,0.23251468154068627,0.21935483870967742,0.07311827956989247,0.2259234208145112
random,20260715,reference_rankings_v1,Chimu,strict_culture_universe,6,0.047367979370339715,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.020135217116582366
random,20260715,reference_rankings_v1,Inca,strict_culture_universe,17,0.26486824402049314,0.11764705882352941,0.007352941176470588,0.11764705882352941,0.09411764705882353,0.029411764705882353,0.09559306547602361,0.08235294117647059,0.051470588235294115,0.08642684167998606
random,20260715,reference_rankings_v1,Moche,strict_culture_universe,6,0.06078556178806805,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.036475098088475204
random,20260715,reference_rankings_v1,Nasca,strict_culture_universe,35,0.42159967017109873,0.22857142857142856,0.006722689075630252,0.22857142857142856,0.18857142857142858,0.02773109243697479,0.1981917953536994,0.21714285714285714,0.06386554621848739,0.21431739414347944
random,20260715,reference_rankings_v1,Paracas,strict_culture_universe,42,0.5686705490276919,0.42857142857142855,0.010452961672473868,0.42857142857142855,0.2857142857142857,0.03484320557491289,0.3111263123760216,0.2666666666666667,0.06504065040650407,0.288478283215314
random,20260715,reference_rankings_v1,Recuay,strict_culture_universe,3,0.014460908416369711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,20260715,reference_rankings_v1,Wari,strict_culture_universe,15,0.262157907639652,0.13333333333333333,0.009523809523809523,0.13333333333333333,0.09333333333333334,0.03333333333333333,0.09802435218573052,0.07333333333333333,0.05238095238095238,0.08256247315055741
random,20260715,reference_rankings_v1,Ychsma,strict_culture_universe,2,0.010958437429025664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
