review_id,hub_priority,configuration_priority,configuration,candidate_item_id,candidate_museum,candidate_title,candidate_culture_canonical,candidate_object_type,candidate_material,candidate_image_local_path,candidate_text_visual,candidate_text_metadata,total_top1_count,total_false_top1_count,max_top1_count,query_index,query_item_id,query_museum,query_title,query_culture_canonical,query_object_type,query_image_local_path,matched_rank,matched_score,top1_score,score_margin,is_false_top1,cross_museum,same_culture_canonical,same_object_type,review_status,visual_similarity,photographic_similarity,semantic_plausibility,dominant_cause,duplicate_or_near_duplicate,generic_text_influence,museum_style_influence,hubness_severity,recommended_action,reviewer,review_date,review_notes
HR-0011,1,3,text_fused_alpha_0.50,CMA:165268,CMA,Textile Fragment,Moche,Textile,,data/images/cma/CMA_165268.jpg,"Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.","Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.; Culture: Moche; Period: c. 50–650 CE; Classification: Textile",9,9,5,167,MET:308283,MET,Panel textil,Chancay,Textile fragment,data/images/met/MET_308283.jpg,10,0.355120778084,0.38350263238,0.028381854295999986,True,True,False,False,pendiente,,,,,,,,,,,,
HR-0012,2,1,text_visual,CMA:152334,CMA,Mantle Border Fragment with Oculate Being,Paracas,Embroidery,,data/images/cma/CMA_152334.jpg,"Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.","Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.; Culture: Paracas; Period: 200 BCE–200 CE; Classification: Embroidery",6,6,3,74,CMA:164419,CMA,"Peruvian Textiles: Mantle or Hanging, Loincloth, Turban, Padded Hat, Band with Tassels",Chimu,Textile,data/images/cma/CMA_164419.jpg,215,0.236043214798,0.361434161663,0.12539094686500002,True,False,False,False,pendiente,,,,,,,,,,,,
HR-0013,2,2,text_metadata,CMA:152334,CMA,Mantle Border Fragment with Oculate Being,Paracas,Embroidery,,data/images/cma/CMA_152334.jpg,"Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.","Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.; Culture: Paracas; Period: 200 BCE–200 CE; Classification: Embroidery",6,6,3,74,CMA:164419,CMA,"Peruvian Textiles: Mantle or Hanging, Loincloth, Turban, Padded Hat, Band with Tassels",Chimu,Textile,data/images/cma/CMA_164419.jpg,215,0.236043214798,0.361434161663,0.12539094686500002,True,False,False,False,pendiente,,,,,,,,,,,,
HR-0014,2,2,text_metadata,CMA:152334,CMA,Mantle Border Fragment with Oculate Being,Paracas,Embroidery,,data/images/cma/CMA_152334.jpg,"Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.","Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.; Culture: Paracas; Period: 200 BCE–200 CE; Classification: Embroidery",6,6,3,53,CMA:134765,CMA,Fragment,,Textile,data/images/cma/CMA_134765.jpg,77,0.316219061613,0.360472142696,0.04425308108299997,True,False,False,False,pendiente,,,,,,,,,,,,
HR-0015,2,2,text_metadata,CMA:152334,CMA,Mantle Border Fragment with Oculate Being,Paracas,Embroidery,,data/images/cma/CMA_152334.jpg,"Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.","Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.; Culture: Paracas; Period: 200 BCE–200 CE; Classification: Embroidery",6,6,3,204,MET:316945,MET,Fragmento textil,Paracas,Border fragment,data/images/met/MET_316945.jpg,5,0.370015382767,0.372830569744,0.0028151869769999505,True,True,True,False,pendiente,,,,,,,,,,,,
HR-0016,2,3,text_fused_alpha_0.50,CMA:152334,CMA,Mantle Border Fragment with Oculate Being,Paracas,Embroidery,,data/images/cma/CMA_152334.jpg,"Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.","Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.; Culture: Paracas; Period: 200 BCE–200 CE; Classification: Embroidery",6,6,3,74,CMA:164419,CMA,"Peruvian Textiles: Mantle or Hanging, Loincloth, Turban, Padded Hat, Band with Tassels",Chimu,Textile,data/images/cma/CMA_164419.jpg,215,0.236043214798,0.361434161663,0.12539094686500002,True,False,False,False,pendiente,,,,,,,,,,,,
HR-0017,2,3,text_fused_alpha_0.50,CMA:152334,CMA,Mantle Border Fragment with Oculate Being,Paracas,Embroidery,,data/images/cma/CMA_152334.jpg,"Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.","Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.; Culture: Paracas; Period: 200 BCE–200 CE; Classification: Embroidery",6,6,3,26,CMA:119656,CMA,Dress,Chuquibamba,Textile,data/images/cma/CMA_119656.jpg,26,0.3259973526,0.347831606865,0.021834254264999964,True,False,False,False,pendiente,,,,,,,,,,,,
HR-0018,2,3,text_fused_alpha_0.50,CMA:152334,CMA,Mantle Border Fragment with Oculate Being,Paracas,Embroidery,,data/images/cma/CMA_152334.jpg,"Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.","Title: Mantle Border Fragment with Oculate Being; Object type: Embroidery; Technique: camelid fiber, embroidery over foundation cloth; Description: This border fragment features a supernatural being apparently at the center of a religion that swept the south coast during the final stages of the Paracas culture. Known as the Oculate Being after its huge eyes, it is affiliated with fertility and violence—note the darts it holds in one hand. Both large and small versions of the being are embroidered on the fragment, which likely comes from the border of a large, rectangular, shawl-like garment known as a mantle.; Culture: Paracas; Period: 200 BCE–200 CE; Classification: Embroidery",6,6,3,204,MET:316945,MET,Fragmento textil,Paracas,Border fragment,data/images/met/MET_316945.jpg,6,0.373821675777,0.380476415157,0.0066547393799999965,True,True,True,False,pendiente,,,,,,,,,,,,
HR-0019,3,1,text_visual,MET:318460,MET,Objeto textil,Paracas,Mask,"Cotton, paint",data/images/met/MET_318460.jpg,"Title: Objeto textil; Object type: Mask; Material: Cotton, paint","Title: Objeto textil; Object type: Mask; Material: Cotton, paint; Culture: Paracas; Period: 3rd century BCE–1st century CE; Classification: Textil; Country: Peru",36,36,12,39,CMA:119688,CMA,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119688.jpg,174,0.244352132082,0.344043672085,0.09969154000299998,True,True,True,False,pendiente,,,,,,,,,,,,
HR-0020,3,1,text_visual,MET:318460,MET,Objeto textil,Paracas,Mask,"Cotton, paint",data/images/met/MET_318460.jpg,"Title: Objeto textil; Object type: Mask; Material: Cotton, paint","Title: Objeto textil; Object type: Mask; Material: Cotton, paint; Culture: Paracas; Period: 3rd century BCE–1st century CE; Classification: Textil; Country: Peru",36,36,12,38,CMA:119687,CMA,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119687.jpg,137,0.257089555264,0.344043672085,0.08695411682099996,True,True,True,False,pendiente,,,,,,,,,,,,
