replicate,metric,configuration_a,value_a,configuration_b,value_b,difference_b_minus_a
9,recall_at_5,text_metadata,0.0604651162791,text_fused_alpha_0.50,0.0744186046512,0.0139534883721
9,recall_at_10,text_metadata,0.120930232558,text_fused_alpha_0.50,0.13488372093,0.0139534883721
10,mrr,text_metadata,0.067227448578,text_fused_alpha_0.50,0.0656868190878,-0.00154062949029
10,mean_rank,text_metadata,78.5395348837,text_fused_alpha_0.50,78.5209302326,-0.0186046511628
10,median_rank,text_metadata,74,text_fused_alpha_0.50,72,-2
10,recall_at_1,text_metadata,0.0139534883721,text_fused_alpha_0.50,0.0232558139535,0.0093023255814
10,recall_at_5,text_metadata,0.0837209302326,text_fused_alpha_0.50,0.0651162790698,-0.0186046511628
10,recall_at_10,text_metadata,0.13023255814,text_fused_alpha_0.50,0.125581395349,-0.0046511627907
11,mrr,text_metadata,0.0460592646056,text_fused_alpha_0.50,0.048783019762,0.00272375515641
11,mean_rank,text_metadata,77.5720930233,text_fused_alpha_0.50,73.7488372093,-3.82325581395
11,median_rank,text_metadata,70,text_fused_alpha_0.50,55,-15
11,recall_at_1,text_metadata,0.0046511627907,text_fused_alpha_0.50,0.0046511627907,0
11,recall_at_5,text_metadata,0.0418604651163,text_fused_alpha_0.50,0.0697674418605,0.0279069767442
11,recall_at_10,text_metadata,0.102325581395,text_fused_alpha_0.50,0.111627906977,0.0093023255814
12,mrr,text_metadata,0.0515254771446,text_fused_alpha_0.50,0.0524953384476,0.000969861303013
12,mean_rank,text_metadata,74.8139534884,text_fused_alpha_0.50,72.0139534884,-2.8
12,median_rank,text_metadata,64,text_fused_alpha_0.50,57,-7
12,recall_at_1,text_metadata,0.0139534883721,text_fused_alpha_0.50,0.0093023255814,-0.0046511627907
12,recall_at_5,text_metadata,0.0418604651163,text_fused_alpha_0.50,0.0697674418605,0.0279069767442
12,recall_at_10,text_metadata,0.0976744186047,text_fused_alpha_0.50,0.125581395349,0.0279069767442
13,mrr,text_metadata,0.0619562447304,text_fused_alpha_0.50,0.0567848382118,-0.00517140651858
13,mean_rank,text_metadata,74.9302325581,text_fused_alpha_0.50,73.8,-1.13023255814
13,median_rank,text_metadata,64,text_fused_alpha_0.50,61,-3
13,recall_at_1,text_metadata,0.0186046511628,text_fused_alpha_0.50,0.0186046511628,0
13,recall_at_5,text_metadata,0.0697674418605,text_fused_alpha_0.50,0.0511627906977,-0.0186046511628
13,recall_at_10,text_metadata,0.093023255814,text_fused_alpha_0.50,0.0976744186047,0.0046511627907
14,mrr,text_metadata,0.0692016682278,text_fused_alpha_0.50,0.0635063464605,-0.00569532176734
14,mean_rank,text_metadata,69.0604651163,text_fused_alpha_0.50,67.8651162791,-1.19534883721
14,median_rank,text_metadata,52,text_fused_alpha_0.50,55,3
14,recall_at_1,text_metadata,0.0232558139535,text_fused_alpha_0.50,0.0139534883721,-0.0093023255814
14,recall_at_5,text_metadata,0.0697674418605,text_fused_alpha_0.50,0.0837209302326,0.0139534883721
14,recall_at_10,text_metadata,0.13023255814,text_fused_alpha_0.50,0.158139534884,0.0279069767442
15,mrr,text_metadata,0.0671822595852,text_fused_alpha_0.50,0.0720336895038,0.00485142991863
15,mean_rank,text_metadata,71.1209302326,text_fused_alpha_0.50,69.288372093,-1.83255813953
15,median_rank,text_metadata,59,text_fused_alpha_0.50,55,-4
15,recall_at_1,text_metadata,0.0139534883721,text_fused_alpha_0.50,0.0186046511628,0.0046511627907
15,recall_at_5,text_metadata,0.0790697674419,text_fused_alpha_0.50,0.102325581395,0.0232558139535
15,recall_at_10,text_metadata,0.116279069767,text_fused_alpha_0.50,0.13488372093,0.0186046511628
16,mrr,text_metadata,0.0529240079701,text_fused_alpha_0.50,0.0605191224677,0.00759511449764
16,mean_rank,text_metadata,69.4418604651,text_fused_alpha_0.50,66.288372093,-3.15348837209
16,median_rank,text_metadata,55,text_fused_alpha_0.50,54,-1
16,recall_at_1,text_metadata,0.0093023255814,text_fused_alpha_0.50,0.0232558139535,0.0139534883721
16,recall_at_5,text_metadata,0.0511627906977,text_fused_alpha_0.50,0.0604651162791,0.0093023255814
16,recall_at_10,text_metadata,0.125581395349,text_fused_alpha_0.50,0.106976744186,-0.0186046511628
17,mrr,text_metadata,0.0578506893465,text_fused_alpha_0.50,0.0639922760866,0.00614158674018
17,mean_rank,text_metadata,73.2465116279,text_fused_alpha_0.50,70.3255813953,-2.92093023256
17,median_rank,text_metadata,60,text_fused_alpha_0.50,52,-8
17,recall_at_1,text_metadata,0.0139534883721,text_fused_alpha_0.50,0.0186046511628,0.0046511627907
17,recall_at_5,text_metadata,0.0651162790698,text_fused_alpha_0.50,0.0744186046512,0.0093023255814
17,recall_at_10,text_metadata,0.102325581395,text_fused_alpha_0.50,0.13488372093,0.0325581395349
18,mrr,text_metadata,0.0761613754315,text_fused_alpha_0.50,0.0654862410533,-0.0106751343782
18,mean_rank,text_metadata,70.023255814,text_fused_alpha_0.50,69.1860465116,-0.837209302326
18,median_rank,text_metadata,55,text_fused_alpha_0.50,58,3
18,recall_at_1,text_metadata,0.0186046511628,text_fused_alpha_0.50,0.0093023255814,-0.0093023255814
18,recall_at_5,text_metadata,0.0883720930233,text_fused_alpha_0.50,0.0883720930233,0
18,recall_at_10,text_metadata,0.139534883721,text_fused_alpha_0.50,0.162790697674,0.0232558139535
19,mrr,text_metadata,0.0550094853328,text_fused_alpha_0.50,0.0554534933668,0.000444008034082
19,mean_rank,text_metadata,77.3860465116,text_fused_alpha_0.50,75.7813953488,-1.60465116279
19,median_rank,text_metadata,62,text_fused_alpha_0.50,62,0
19,recall_at_1,text_metadata,0.0093023255814,text_fused_alpha_0.50,0.0046511627907,-0.0046511627907
19,recall_at_5,text_metadata,0.0558139534884,text_fused_alpha_0.50,0.0744186046512,0.0186046511628
19,recall_at_10,text_metadata,0.13023255814,text_fused_alpha_0.50,0.139534883721,0.0093023255814
20,mrr,text_metadata,0.0438272422912,text_fused_alpha_0.50,0.0517080729362,0.00788083064502
20,mean_rank,text_metadata,76.4651162791,text_fused_alpha_0.50,73.1302325581,-3.33488372093
20,median_rank,text_metadata,65,text_fused_alpha_0.50,62,-3
20,recall_at_1,text_metadata,0,text_fused_alpha_0.50,0.0046511627907,0.0046511627907
20,recall_at_5,text_metadata,0.0418604651163,text_fused_alpha_0.50,0.0604651162791,0.0186046511628
20,recall_at_10,text_metadata,0.0883720930233,text_fused_alpha_0.50,0.111627906977,0.0232558139535
21,mrr,text_metadata,0.0537638592714,text_fused_alpha_0.50,0.0486565345407,-0.00510732473069
21,mean_rank,text_metadata,72.5720930233,text_fused_alpha_0.50,72.1209302326,-0.451162790698
21,median_rank,text_metadata,59,text_fused_alpha_0.50,55,-4
21,recall_at_1,text_metadata,0.0046511627907,text_fused_alpha_0.50,0,-0.0046511627907
21,recall_at_5,text_metadata,0.0511627906977,text_fused_alpha_0.50,0.0651162790698,0.0139534883721
21,recall_at_10,text_metadata,0.125581395349,text_fused_alpha_0.50,0.120930232558,-0.0046511627907
22,mrr,text_metadata,0.0731291704483,text_fused_alpha_0.50,0.075678775038,0.00254960458967
22,mean_rank,text_metadata,70.1162790698,text_fused_alpha_0.50,74.0465116279,3.93023255814
22,median_rank,text_metadata,59,text_fused_alpha_0.50,68,9
22,recall_at_1,text_metadata,0.0232558139535,text_fused_alpha_0.50,0.0279069767442,0.0046511627907
22,recall_at_5,text_metadata,0.0837209302326,text_fused_alpha_0.50,0.106976744186,0.0232558139535
22,recall_at_10,text_metadata,0.144186046512,text_fused_alpha_0.50,0.139534883721,-0.0046511627907
23,mrr,text_metadata,0.0529829757995,text_fused_alpha_0.50,0.0437185360018,-0.00926443979771
23,mean_rank,text_metadata,76.223255814,text_fused_alpha_0.50,73.8790697674,-2.34418604651
23,median_rank,text_metadata,60,text_fused_alpha_0.50,55,-5
23,recall_at_1,text_metadata,0.0139534883721,text_fused_alpha_0.50,0.0046511627907,-0.0093023255814
23,recall_at_5,text_metadata,0.0418604651163,text_fused_alpha_0.50,0.046511627907,0.0046511627907
23,recall_at_10,text_metadata,0.102325581395,text_fused_alpha_0.50,0.102325581395,0
24,mrr,text_metadata,0.0694125735954,text_fused_alpha_0.50,0.078862996449,0.00945042285358
24,mean_rank,text_metadata,68.8046511628,text_fused_alpha_0.50,65.7302325581,-3.07441860465
24,median_rank,text_metadata,57,text_fused_alpha_0.50,52,-5
24,recall_at_1,text_metadata,0.0139534883721,text_fused_alpha_0.50,0.0232558139535,0.0093023255814
24,recall_at_5,text_metadata,0.0837209302326,text_fused_alpha_0.50,0.106976744186,0.0232558139535
24,recall_at_10,text_metadata,0.116279069767,text_fused_alpha_0.50,0.172093023256,0.0558139534884
25,mrr,text_metadata,0.0645753899898,text_fused_alpha_0.50,0.0539269723617,-0.0106484176281
25,mean_rank,text_metadata,78.376744186,text_fused_alpha_0.50,74.8465116279,-3.53023255814
25,median_rank,text_metadata,62,text_fused_alpha_0.50,54,-8
25,recall_at_1,text_metadata,0.0279069767442,text_fused_alpha_0.50,0.0093023255814,-0.0186046511628
25,recall_at_5,text_metadata,0.0651162790698,text_fused_alpha_0.50,0.0604651162791,-0.0046511627907
25,recall_at_10,text_metadata,0.106976744186,text_fused_alpha_0.50,0.111627906977,0.0046511627907
26,mrr,text_metadata,0.0641489064087,text_fused_alpha_0.50,0.064479167425,0.000330261016258
26,mean_rank,text_metadata,69.6976744186,text_fused_alpha_0.50,67.6093023256,-2.08837209302
26,median_rank,text_metadata,57,text_fused_alpha_0.50,50,-7
26,recall_at_1,text_metadata,0.0046511627907,text_fused_alpha_0.50,0.0093023255814,0.0046511627907
26,recall_at_5,text_metadata,0.0883720930233,text_fused_alpha_0.50,0.093023255814,0.0046511627907
26,recall_at_10,text_metadata,0.144186046512,text_fused_alpha_0.50,0.153488372093,0.0093023255814
27,mrr,text_metadata,0.0449667962042,text_fused_alpha_0.50,0.0476612556852,0.00269445948101
