item_id,museum,image_url,download_status,acquisition_action,failure_code,failure_detail,http_status,attempt_count,final_url,content_type,image_local_path,filename,image_bytes,image_width,image_height,image_format,sha256,download_version
CMA:108034,CMA,https://openaccess-cdn.clevelandart.org/1925.661/1925.661_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1925.661/1925.661_web.jpg,image/jpeg,data/images/cma/CMA_108034.jpg,CMA_108034.jpg,571417,682,893,JPEG,781e645166556d51379e7d8ea6ffe0638f6073b8511fc28bb681014b293ef213,image_download_v1
CMA:108038,CMA,https://openaccess-cdn.clevelandart.org/1925.665/1925.665_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1925.665/1925.665_web.jpg,image/jpeg,data/images/cma/CMA_108038.jpg,CMA_108038.jpg,383365,1263,333,JPEG,cfdf77e399211f9423149eeba6bfe62e8c2309ee751343aeaaa9fbe8e66ce6a7,image_download_v1
CMA:108042,CMA,https://openaccess-cdn.clevelandart.org/1925.667/1925.667_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1925.667/1925.667_web.jpg,image/jpeg,data/images/cma/CMA_108042.jpg,CMA_108042.jpg,168622,900,575,JPEG,7c42d15ba415cf8ea11df7de3d10949831b7037992e4440ae15ea11e85d1db7d,image_download_v1
CMA:108043,CMA,https://openaccess-cdn.clevelandart.org/1925.668/1925.668_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1925.668/1925.668_web.jpg,image/jpeg,data/images/cma/CMA_108043.jpg,CMA_108043.jpg,888764,1251,893,JPEG,8ac8d2dfcee4ea38858a4e232e54d8823016780867ec82cc7edcc9b33aebf3d2,image_download_v1
CMA:108044,CMA,https://openaccess-cdn.clevelandart.org/1925.669/1925.669_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1925.669/1925.669_web.jpg,image/jpeg,data/images/cma/CMA_108044.jpg,CMA_108044.jpg,493584,743,893,JPEG,77bb6ecddd39ceecbda6a5bac222d36081401bac1aa11a2fc9c0e36202b2421c,image_download_v1
CMA:114131,CMA,https://openaccess-cdn.clevelandart.org/1933.392/1933.392_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1933.392/1933.392_web.jpg,image/jpeg,data/images/cma/CMA_114131.jpg,CMA_114131.jpg,138282,900,435,JPEG,58c6a82464be721ff3765a77ac9a6c5bdb40da12055e969851cf077d807abcdc,image_download_v1
CMA:114132,CMA,https://openaccess-cdn.clevelandart.org/1933.393/1933.393_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1933.393/1933.393_web.jpg,image/jpeg,data/images/cma/CMA_114132.jpg,CMA_114132.jpg,634698,1263,548,JPEG,5617efb1b71cb1e60755c81e8a2f0241bb60edd6827f27c525be7e7e6b31ff38,image_download_v1
CMA:119652,CMA,https://openaccess-cdn.clevelandart.org/1940.494/1940.494_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.494/1940.494_web.jpg,image/jpeg,data/images/cma/CMA_119652.jpg,CMA_119652.jpg,454257,1263,377,JPEG,6c72bf147e7711018097cdfcb769d7c799eb0c44a35e6b08eebbfdb1bb807a6e,image_download_v1
CMA:119655,CMA,https://openaccess-cdn.clevelandart.org/1940.497/1940.497_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.497/1940.497_web.jpg,image/jpeg,data/images/cma/CMA_119655.jpg,CMA_119655.jpg,686337,1263,578,JPEG,2af8c7985724aa01307db4713b572d7623b5d434b45543ef0fddd2fd71f7ec0c,image_download_v1
CMA:119656,CMA,https://openaccess-cdn.clevelandart.org/1940.498/1940.498_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.498/1940.498_web.jpg,image/jpeg,data/images/cma/CMA_119656.jpg,CMA_119656.jpg,83466,750,678,JPEG,ec3532effa6a2ba3e0a4ba78fb426a3e197088ebb83a458e13e3af7f7281030c,image_download_v1
CMA:119675,CMA,https://openaccess-cdn.clevelandart.org/1940.514/1940.514_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.514/1940.514_web.jpg,image/jpeg,data/images/cma/CMA_119675.jpg,CMA_119675.jpg,676551,780,893,JPEG,5205614009d203517200bc89a51b97c7eaf8cd41de5397c458512592c83a52e8,image_download_v1
