item_id,museum,culture_mapping_decision,culture_strict_ground_truth_eligible,culture_query_eligible,selected_local_image_column,local_image_value,resolved_image_path,local_image_reference_available,local_image_exists,local_image_readable,image_width,image_height,image_format,image_error,selected_image_url_column,image_source_url,text_fields_used,text_input,text_character_count,text_input_available,openclip_image_ready,openclip_text_ready,openclip_multimodal_ready,openclip_image_evaluation_ready,openclip_multimodal_evaluation_ready,audit_version
CMA:104390,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.517/1922.517_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Fragment from a Mantle. object type: Textile. culture: Peru, North Coast, Chimú Culture, 12th-15th century. culture canonical: Chimu. period: c. 1100–1400. technique: tabby, brocaded; border: single-face pattern weave (fancy twill); cotton and wool",255,True,False,True,False,False,False,openclip_input_audit_v1
CMA:108026,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1925.654/1925.654_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Fragment. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: tabby, brocaded; cotton",181,True,False,True,False,False,False,openclip_input_audit_v1
CMA:108033,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1925.660/1925.660_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Unfinished Cloth. object type: Textile. culture: Peru, Central Coast, Chancay, Pachacamac, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: tapestry weave; cotton and wool",209,True,False,True,False,False,False,openclip_input_audit_v1
CMA:108034,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1925.661/1925.661_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Fragment of a Double Cloth. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: tabby weave, double cloth; cotton",209,True,False,True,False,False,False,openclip_input_audit_v1
CMA:108038,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1925.665/1925.665_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Large Cloth. object type: Textile. culture: Peru, North Coast, Chimú Culture, 12th-15th century. culture canonical: Chimu. period: c. 1100–1400. technique: plain cloth with overlaid tapestry-like decoration; cotton and wool",230,True,False,True,False,False,False,openclip_input_audit_v1
CMA:108042,CMA,include_non_strict,False,False,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1925.667/1925.667_web.jpg,title | object_type | culture | period | technique | description,"title: Tapestry-woven Yoke from a Tunic. object type: Textile. culture: Central Andes, North Central Coast, Moche-Wari Style. period: 800–1200?. technique: camelid fiber and cotton, tapestry weave. description: This fragment comes from the upper area of a tunic, with thick embroidery defining remnants of the neck opening. In the rectangular area on the chest are two similar long-tailed creatures rendered in a highly geometric style. Each is rotated 90 degrees, so their tails are parallel to the bottom edge. The cloven hooves on their upper legs may identify the creatures as deer or Andean camelids, such as llamas or alpacas.",632,True,False,True,False,False,False,openclip_input_audit_v1
CMA:108043,CMA,exclude,False,False,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1925.668/1925.668_web.jpg,title | object_type | culture | period | technique | description,"title: Tunic (Shirt) with Tapestry-woven Yoke. object type: Textile. culture: Central Andes, Northern Central Coast. period: 650–850. technique: camelid fiber and cotton; tapestry-weave yoke and chest plaque, plain-weave body. description: Likely an item of men’s wear, this tunic exhibits a variety of motifs. The upper panels feature an especially pronounced triangular pattern. The rectangle at the center of the chest displays a repeated frontal figure that stands out for its relatively large size and more rounded style. The surrounding elements are more right-angled, including the small figures in flanking positions and the birds in the borders.",654,True,False,True,False,False,False,openclip_input_audit_v1
CMA:108044,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1925.669/1925.669_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Textile Bag. object type: Textile. culture: Peru, Central Coast, Chancay, Pachacamac, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: tabby weave, warp patterned; wool",206,True,False,True,False,False,False,openclip_input_audit_v1
CMA:114131,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1933.392/1933.392_web.jpg,title | object_type | culture | culture_canonical | period | technique | description,"title: Fish-Shaped Applique. object type: Textile. culture: Central Andes, Central Coast, Ychsma (Pachacamac) people. culture canonical: Ychsma. period: 1400–1532. technique: cotton and camelid fiber, tapestry weave with areas of eccentric weft floats. description: This fish-shaped textile was originally stitched with others like it to a mantle, a shawl-like garment that was a staple of Andean clothing. Its partial “X-ray view,” which emphasizes the bony spine, is unique to the style of the Ychsma (<strong><em>yeach</em></strong><em>-mah</em>), who lived on Peru’s central coast. In addition to referencing sources of food, marine subjects may also carry religious associations, as some coastal peoples of the period regarded the sea as a deity.",751,True,False,True,False,False,False,openclip_input_audit_v1
CMA:114132,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1933.393/1933.393_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Tie-Dyed Fragment. object type: Textile. culture: Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century. culture canonical: Wari. period: c. 700–1100 A.D.. technique: discontinuous warp and weft, tie-dyed; wool",229,True,False,True,False,False,False,openclip_input_audit_v1
