configuration,scope,query_modality,candidate_modality,alpha,total_queries,mrr,mean_rank,median_rank,mean_matched_score,recall_at_1,recall_at_5,recall_at_10,mrr_lift_vs_random,recall_at_1_lift_vs_random,recall_at_5_lift_vs_random,recall_at_10_lift_vs_random,mean_rank_reduction_vs_random,median_rank_reduction_vs_random
text_metadata,ALL,text_metadata,image,,215,0.0599745007112,71.576744186,60,0.320514733847,0.0139534883721,0.0651162790698,0.116279069767,2.16708118612,3,2.8,2.5,0.337252368648,0.444444444444
text_fused_alpha_0.50,ALL,text_fused,image,0.5,215,0.059830890397,70.1860465116,55,0.324541130177,0.0139534883721,0.0697674418605,0.13023255814,2.16189206064,3,3,2.8,0.350129198966,0.490740740741
