configuration,alpha,query_index,query_item_id,query_museum,matched_rank,reciprocal_rank,matched_score,top1_index,candidate_item_id,candidate_museum,top1_score,top1_is_match,query_title,query_culture_canonical,query_object_type,query_image_local_path,candidate_title,candidate_culture_canonical,candidate_object_type,candidate_image_local_path,self_match,same_museum,cross_museum,same_culture_canonical,same_object_type
text_fused_alpha_0.50,0.5,130,MET:308025,MET,37,0.027027027027,0.3239569664,40,CMA:119689,CMA,0.366877615452,False,Bolsa textil,Nasca,Bag,data/images/met/MET_308025.jpg,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119689.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,126,MET:308021,MET,44,0.0227272727273,0.318077296019,40,CMA:119689,CMA,0.366877615452,False,Bolsa textil,Nasca,Bag,data/images/met/MET_308021.jpg,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119689.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,131,MET:308026,MET,47,0.0212765957447,0.317048072815,40,CMA:119689,CMA,0.366877615452,False,Bolsa textil,Nasca,Bag,data/images/met/MET_308026.jpg,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119689.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,128,MET:308023,MET,84,0.0119047619048,0.30452311039,40,CMA:119689,CMA,0.366877615452,False,Bolsa textil,Nasca,Bag,data/images/met/MET_308023.jpg,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119689.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,127,MET:308022,MET,100,0.01,0.268361210823,40,CMA:119689,CMA,0.333447992802,False,Bolsa textil,Nasca,bolso_textil,data/images/met/MET_308022.jpg,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119689.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,199,MET:316921,MET,112,0.00892857142857,0.295387804508,40,CMA:119689,CMA,0.365476161242,False,Bolsa textil,Nasca,Bag,data/images/met/MET_316921.jpg,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119689.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,134,MET:308029,MET,116,0.00862068965517,0.296501845121,40,CMA:119689,CMA,0.366877615452,False,Bolsa textil,Nasca,Bag,data/images/met/MET_308029.jpg,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119689.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,88,MET:307449,MET,193,0.00518134715026,0.230244100094,40,CMA:119689,CMA,0.322619199753,False,Bolsa textil,Inca,bolso_textil,data/images/met/MET_307449.jpg,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119689.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,204,MET:316945,MET,6,0.166666666667,0.373821675777,58,CMA:152334,CMA,0.380476415157,False,Fragmento textil,Paracas,Border fragment,data/images/met/MET_316945.jpg,Mantle Border Fragment with Oculate Being,Paracas,Embroidery,data/images/cma/CMA_152334.jpg,False,False,True,True,False
text_fused_alpha_0.50,0.5,26,CMA:119656,CMA,26,0.0384615384615,0.3259973526,58,CMA:152334,CMA,0.347831606865,False,Dress,Chuquibamba,Textile,data/images/cma/CMA_119656.jpg,Mantle Border Fragment with Oculate Being,Paracas,Embroidery,data/images/cma/CMA_152334.jpg,False,True,False,False,False
text_fused_alpha_0.50,0.5,74,CMA:164419,CMA,215,0.0046511627907,0.236043214798,58,CMA:152334,CMA,0.361434161663,False,"Peruvian Textiles: Mantle or Hanging, Loincloth, Turban, Padded Hat, Band with Tassels",Chimu,Textile,data/images/cma/CMA_164419.jpg,Mantle Border Fragment with Oculate Being,Paracas,Embroidery,data/images/cma/CMA_152334.jpg,False,True,False,False,False
text_fused_alpha_0.50,0.5,5,CMA:104241,CMA,6,0.166666666667,0.36401990056,79,CMA:165184,CMA,0.381226211786,False,Four Border Strips,Chancay,Textile,data/images/cma/CMA_104241.jpg,Tunic with Sacrificer,Wari,Textile,data/images/cma/CMA_165184.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,180,MET:312669,MET,25,0.04,0.353997379541,79,CMA:165184,CMA,0.38303989172,False,Panel textil,Chancay,Panel,data/images/met/MET_312669.jpg,Tunic with Sacrificer,Wari,Textile,data/images/cma/CMA_165184.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,72,CMA:163758,CMA,55,0.0181818181818,0.331956535578,79,CMA:165184,CMA,0.371700823307,False,Panel from the End of a Sash,Paracas,Textile,data/images/cma/CMA_163758.jpg,Tunic with Sacrificer,Wari,Textile,data/images/cma/CMA_165184.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,6,CMA:104242,CMA,58,0.0172413793103,0.319985985756,79,CMA:165184,CMA,0.381226211786,False,Four Border Strips,Chancay,Textile,data/images/cma/CMA_104242.jpg,Tunic with Sacrificer,Wari,Textile,data/images/cma/CMA_165184.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,7,CMA:104243,CMA,101,0.00990099009901,0.304194092751,79,CMA:165184,CMA,0.381226211786,False,Four Border Strips,Chancay,Textile,data/images/cma/CMA_104243.jpg,Tunic with Sacrificer,Wari,Textile,data/images/cma/CMA_165184.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,9,CMA:104245,CMA,104,0.00961538461538,0.303601145744,79,CMA:165184,CMA,0.381226211786,False,Four Border Strips,Chancay,Textile,data/images/cma/CMA_104245.jpg,Tunic with Sacrificer,Wari,Textile,data/images/cma/CMA_165184.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,8,CMA:104244,CMA,125,0.008,0.297081559896,79,CMA:165184,CMA,0.381226211786,False,Four Border Strips,Chancay,Textile,data/images/cma/CMA_104244.jpg,Tunic with Sacrificer,Wari,Textile,data/images/cma/CMA_165184.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,181,MET:313121,MET,142,0.00704225352113,0.32464030385,79,CMA:165184,CMA,0.396018028259,False,Panel textil,Chancay,Panel,data/images/met/MET_313121.jpg,Tunic with Sacrificer,Wari,Textile,data/images/cma/CMA_165184.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,167,MET:308283,MET,10,0.1,0.355120778084,82,CMA:165268,CMA,0.38350263238,False,Panel textil,Chancay,Textile fragment,data/images/met/MET_308283.jpg,Textile Fragment,Moche,Textile,data/images/cma/CMA_165268.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,16,CMA:108033,CMA,38,0.0263157894737,0.335688620806,82,CMA:165268,CMA,0.373043179512,False,Unfinished Cloth,Chancay,Textile,data/images/cma/CMA_108033.jpg,Textile Fragment,Moche,Textile,data/images/cma/CMA_165268.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,56,CMA:149062,CMA,40,0.025,0.331036329269,82,CMA:165268,CMA,0.364921867847,False,Fragment,Chancay,Textile,data/images/cma/CMA_149062.jpg,Textile Fragment,Moche,Textile,data/images/cma/CMA_165268.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,170,MET:308290,MET,163,0.00613496932515,0.317506432533,82,CMA:165268,CMA,0.38428235054,False,Fragmento textil,Chancay,Panel,data/images/met/MET_308290.jpg,Textile Fragment,Moche,Textile,data/images/cma/CMA_165268.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,144,MET:308048,MET,1,1,0.392086625099,144,MET:308048,MET,0.392086625099,True,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,True,True,False,True,True
text_fused_alpha_0.50,0.5,135,MET:308034,MET,5,0.2,0.374909937382,144,MET:308048,MET,0.390408098698,False,Manto textil,Paracas,Mantle fragment,data/images/met/MET_308034.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,146,MET:308056,MET,5,0.2,0.371085166931,144,MET:308048,MET,0.392086625099,False,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308056.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,True
