configuration,alpha,query_index,item_id,museum,matched_rank,reciprocal_rank,matched_score,top1_index,top1_item_id,top1_museum,top1_score,top1_is_match
text_visual,,48,CMA:126684,CMA,77,0.012987012987,0.317355394363,183,MET:313153,MET,0.391090869904,False
text_visual,,49,CMA:128454,CMA,31,0.0322580645161,0.339858531952,78,CMA:164430,CMA,0.373488426208,False
text_visual,,50,CMA:130555,CMA,46,0.0217391304348,0.290870070457,170,MET:308290,MET,0.351725906134,False
text_visual,,51,CMA:134395,CMA,61,0.016393442623,0.295377582312,210,MET:320054,MET,0.348884016275,False
text_visual,,52,CMA:134604,CMA,46,0.0217391304348,0.320841878653,191,MET:315786,MET,0.360459625721,False
text_visual,,53,CMA:134765,CMA,112,0.00892857142857,0.281182646751,171,MET:309528,MET,0.347461998463,False
text_visual,,54,CMA:134948,CMA,62,0.0161290322581,0.284041792154,177,MET:310699,MET,0.331964373589,False
text_visual,,55,CMA:137312,CMA,11,0.0909090909091,0.310958534479,148,MET:308058,MET,0.331159353256,False
text_visual,,56,CMA:149062,CMA,20,0.05,0.310433447361,144,MET:308048,MET,0.333900719881,False
text_visual,,57,CMA:152258,CMA,45,0.0222222222222,0.3298201859,183,MET:313153,MET,0.367877304554,False
text_visual,,58,CMA:152334,CMA,68,0.0147058823529,0.321750432253,203,MET:316939,MET,0.359761208296,False
text_visual,,59,CMA:152819,CMA,137,0.00729927007299,0.309553772211,183,MET:313153,MET,0.380081117153,False
text_visual,,60,CMA:155505,CMA,79,0.0126582278481,0.295196563005,144,MET:308048,MET,0.348247647285,False
text_visual,,61,CMA:155934,CMA,69,0.0144927536232,0.304416298866,151,MET:308070,MET,0.371030211449,False
text_visual,,62,CMA:156237,CMA,55,0.0181818181818,0.327069163322,53,CMA:134765,CMA,0.367197990417,False
text_visual,,63,CMA:157111,CMA,122,0.00819672131148,0.281025350094,185,MET:314363,MET,0.331820040941,False
text_visual,,64,CMA:157112,CMA,79,0.0126582278481,0.303626179695,85,CMA:169189,CMA,0.345773398876,False
text_visual,,65,CMA:160691,CMA,23,0.0434782608696,0.313628256321,187,MET:315690,MET,0.34542787075,False
text_visual,,66,CMA:160692,CMA,37,0.027027027027,0.306676656008,187,MET:315690,MET,0.34542787075,False
text_visual,,67,CMA:163622,CMA,50,0.02,0.338400959969,57,CMA:152258,CMA,0.369527101517,False
text_visual,,68,CMA:163640,CMA,49,0.0204081632653,0.333586931229,151,MET:308070,MET,0.38022723794,False
text_visual,,69,CMA:163676,CMA,36,0.0277777777778,0.299883246422,144,MET:308048,MET,0.343038767576,False
text_visual,,70,CMA:163708,CMA,13,0.0769230769231,0.336703777313,212,MET:675980,MET,0.368070095778,False
