field,met_source_key,met_source_label,met_count,cma_source_key,cma_source_label,cma_count,token_jaccard,substring_match,common_tokens,candidate_score
period,2nd–7th century,2nd–7th century,3,1000–1532,1000–1532,1,0.0,False,,0.0
period,2nd–7th century,2nd–7th century,3,1100–1532,1100–1532,1,0.0,False,,0.0
period,2nd–7th century,2nd–7th century,3,1200–1400,1200–1400,2,0.0,False,,0.0
period,6th–8th century,6th–8th century,1,1000–1460s,1000–1460s,2,0.0,False,,0.0
period,6th–8th century,6th–8th century,1,1000–1532,1000–1532,1,0.0,False,,0.0
period,6th–8th century,6th–8th century,1,1100–1532,1100–1532,1,0.0,False,,0.0
period,6th–8th century,6th–8th century,1,1200–1400,1200–1400,2,0.0,False,,0.0
period,7th century,7th century,29,1000–1460s,1000–1460s,2,0.0,False,,0.0
period,7th century,7th century,29,1000–1532,1000–1532,1,0.0,False,,0.0
period,7th century,7th century,29,1100–1532,1100–1532,1,0.0,False,,0.0
period,7th century,7th century,29,1200–1400,1200–1400,2,0.0,False,,0.0
period,7th–10th century,7th–10th century,3,1000–1460s,1000–1460s,2,0.0,False,,0.0
period,7th–10th century,7th–10th century,3,1000–1532,1000–1532,1,0.0,False,,0.0
period,7th–10th century,7th–10th century,3,1100–1532,1100–1532,1,0.0,False,,0.0
period,7th–10th century,7th–10th century,3,1200–1400,1200–1400,2,0.0,False,,0.0
period,7th–9th century,7th–9th century,4,1000–1460s,1000–1460s,2,0.0,False,,0.0
period,7th–9th century,7th–9th century,4,1000–1532,1000–1532,1,0.0,False,,0.0
period,7th–9th century,7th–9th century,4,1100–1532,1100–1532,1,0.0,False,,0.0
period,7th–9th century,7th–9th century,4,1200–1400,1200–1400,2,0.0,False,,0.0
period,8th–9th century,8th–9th century,2,1000–1460s,1000–1460s,2,0.0,False,,0.0
period,8th–9th century,8th–9th century,2,1000–1532,1000–1532,1,0.0,False,,0.0
period,8th–9th century,8th–9th century,2,1100–1532,1100–1532,1,0.0,False,,0.0
period,8th–9th century,8th–9th century,2,1200–1400,1200–1400,2,0.0,False,,0.0
period,late 16th–17th century,late 16th–17th century,1,1000–1460s,1000–1460s,2,0.0,False,,0.0
period,late 16th–17th century,late 16th–17th century,1,1000–1532,1000–1532,1,0.0,False,,0.0
period,late 16th–17th century,late 16th–17th century,1,1100–1532,1100–1532,1,0.0,False,,0.0
period,late 16th–17th century,late 16th–17th century,1,1200–1400,1200–1400,2,0.0,False,,0.0
